Feature,Importance
absences,0.2068889453369837
failures,0.15735436734462543
health,0.05510919382129419
goout,0.047325225501238424
age,0.037781770538013675
studytime,0.03150094484697799
Fedu,0.03136780052685046
Medu,0.029534279939212923
Walc,0.029215809665327903
freetime,0.028937490503401827
traveltime,0.02664543352955131
famrel,0.025149571596854055
romantic,0.02249491112770412
schoolsup,0.019285216705290948
Mjob_services,0.018473467235901656
sex,0.01811321033046432
guardian_other,0.016003664022384147
activities,0.015316085398072608
higher,0.014864807713019925
internet,0.013599931175676117
famsup,0.013142641139374179
Dalc,0.012071712538577847
paid,0.011469915812937846
reason_reputation,0.010814298675669095
famsize,0.010804012131582524
reason_home,0.009526098404963865
Mjob_other,0.009144894341758577
Pstatus,0.009031737055306969
Fjob_other,0.008895905555612984
nursery,0.008893579491113471
Fjob_teacher,0.00807383249845231
address,0.0076081736035721265
school,0.007552198030098476
guardian_mother,0.007499098229795863
Mjob_health,0.006466977409784269
Fjob_services,0.00579287250279572
Mjob_teacher,0.003840931703841398
reason_other,0.0036844119368584258
Fjob_health,0.0007245820790582736
